阅读量,评价数,标题,情感,详情页,作者,最后更新,影响力,文章内容,评价
696,0,加油！冲鸭！！[鼓掌][爱心],正,"http://guba.eastmoney.com/news,000001,883127650.html",股友yJMX1X,2020/10/29 10:53,5,,
727,0,买点！,正,"http://guba.eastmoney.com/news,000001,883126010.html",大国良民,2020/10/29 10:50,35,,
2009,0,商业银行纷纷布局区块链 有大行首入场，6家银行备案14,正,"http://guba.eastmoney.com/news,000001,882955381.html",带路队长,2020/10/29 10:36,15,,
927,4,今天不知道可不可以突破17块,正,"http://guba.eastmoney.com/news,000001,883091867.html",上善若水721,2020/10/29 9:56,2,,不可能的，震荡下跌-----突破16有可能-----下行-----明天跌停今天最后的机会
720,0,有区块链成色,正,"http://guba.eastmoney.com/news,000001,883091100.html",股友XQPGLX,2020/10/29 9:55,25,,
755,1,要起来了,正,"http://guba.eastmoney.com/news,000001,883088571.html",股友iyjuTi,2020/10/29 9:52,2,,想多了
727,0,正宗区块链，肯定要涨的,正,"http://guba.eastmoney.com/news,000001,883089349.html",警钟长鸣小金鱼,2020/10/29 9:52,25,,
924,2,尾盘要红,正,"http://guba.eastmoney.com/news,000001,882951514.html",中秋r123,2020/10/28 14:46,25,,没机会，全天分时线压制-----红你大爷
754,0,罗马帝国，一天天建起来。,正,"http://guba.eastmoney.com/news,000001,882951895.html",股友XQPGLX,2020/10/28 14:45,25,,
701,0,不要拖后退哟,正,"http://guba.eastmoney.com/news,000001,882948968.html",股友iyjuTi,2020/10/28 14:39,2,,
862,3,终于起来了，收盘要红红吧,正,"http://guba.eastmoney.com/news,000001,882929786.html",股友iyjuTi,2020/10/28 14:01,2,,还不努力-----尾怒涨1分-----今天绿定了
744,1,收盘红,正,"http://guba.eastmoney.com/news,000001,882929586.html",股友7pYx4R,2020/10/28 13:59,2,,十亿都拉不回来
931,3,现在可以买入了吗？,正,"http://guba.eastmoney.com/news,000001,882926756.html",股友Txd41j,2020/10/28 13:53,2,,睡时都不晚-----少买，多波段买入为好；-----还是买别的吧
2586,0,大趋势还是金融，其他炒作而已,正,"http://guba.eastmoney.com/news,000001,882914381.html",A适可而止,2020/10/28 13:28,25,,
2528,0,买点,正,"http://guba.eastmoney.com/news,000001,882913640.html",放弃治疗的散户,2020/10/28 13:27,2,,
730,0,买点底仓平安银行[胜利][胜利],正,"http://guba.eastmoney.com/news,000001,882907871.html",风过飘零01,2020/10/28 13:19,2,,
633,0,不用天天涨，只要涨不停就行,正,"http://guba.eastmoney.com/news,000001,882908461.html",阳春三月88,2020/10/28 13:17,15,,
791,0,那些在埋怨的也不看看平安银行一直就在涨，别的区块链,正,"http://guba.eastmoney.com/news,000001,882903321.html",san年老股民,2020/10/28 13:07,3,,
731,0,看好平安银行。,正,"http://guba.eastmoney.com/news,000001,882891352.html",n555013780072158,2020/10/28 11:53,5,,
629,0,你该涨起来了,正,"http://guba.eastmoney.com/news,000001,882875116.html",股友iyjuTi,2020/10/28 11:13,2,,
619,0,下午就上去了,正,"http://guba.eastmoney.com/news,000001,882870558.html",股友7pYx4R,2020/10/28 11:05,2,,
732,1,我加仓了,正,"http://guba.eastmoney.com/news,000001,882870308.html",落星追魂,2020/10/28 11:04,15,,我也是，主力做t
586,0,涨起来,正,"http://guba.eastmoney.com/news,000001,882832664.html",股友iyjuTi,2020/10/28 10:03,2,,
2806,8,周一平安银行涨停…提前实现22目标,正,"http://guba.eastmoney.com/news,000001,882709532.html",股友7pYx4R,2020/10/26 15:07,2,,平银涨停板的话我会清仓-----想法很理想，现实很骨感----------涨停我叫你爹-----沒那麼快-----如果不搞送轉，22是必須上去的-----涨停我叫你爹-----你别说一点概率没有，呵呵，只有想不到的，没有做不到的---------------继续创新高就行了-----涨停叫你爷
6537,0,区块链朋友圈已经涨停,正,"http://guba.eastmoney.com/news,000001,882696788.html",小魏看盘一头汗,2020/10/26 14:48,25,,
2004,1,区块链最大的也是最终的赢家还是银行,正,"http://guba.eastmoney.com/news,000001,882705190.html",太空旅客云,2020/10/26 13:46,2,,金融区块链是主航道
1832,4,波动也增值，耐心等待19元,正,"http://guba.eastmoney.com/news,000001,882416298.html",依故历史,2020/10/26 12:39,4,,又是几你-----波动也增值-----必須22-----加仓
4637,6,现在看是高位，年底上四十的时候再来看。平安银行会不,正,"http://guba.eastmoney.com/news,000001,882700466.html",买股票靠猜,2020/10/26 12:39,25,,我也怕，怕多了个脑子进水的-----大周末的你想疯了----------好股多的是，每只买几百，万一跌了，涨的卖了，补仓，补仓好股总要涨.，互补候补多了，，自然能应对各种状况-----可能性很大-----区块链货币……有技术他也不敢发，你以为央行吃素的-----大周末的你想疯了----------来点头孢
1810,0,根据周未利好消息。周一区块链、证券大涨,正,"http://guba.eastmoney.com/news,000001,882681504.html",股友7pYx4R,2020/10/26 7:49,2,,
949,0,留意尾盘啊，继续拉升的[大笑],正,"http://guba.eastmoney.com/news,000001,882578647.html",一只珠海的松鼠,2020/10/25 14:29,25,,
924,0,说实话，我也看好平安银行，但并不着急，高抛低吸吧，,正,"http://guba.eastmoney.com/news,000001,882491735.html",股友SPVXzQ,2020/10/25 10:35,15,,
2639,9,明天会否突破17.6元？？？,正,"http://guba.eastmoney.com/news,000001,882388273.html",股海郭齐杰一叶舟,2020/10/25 7:05,4,,都没意明天上突了-----逢低建议加仓，若高开高走当日必创新高-----不可能-----不可能-----可不可能主力说了算，有眼光的人才能看透-----明天必涨，能否达这个位置不好说-----明天必涨，能否达这个位置不好说-----能-----近几日银行个个开始反弹，逢低关注建仓-----按說不會-----说了必涨的，-----1分钱
13350,12,平安银行：资产质量稳定，业绩依然保持较快,正,"http://guba.eastmoney.com/news,000001,882122876.html",平安银行资讯,2020/10/25 1:22,4,,推荐买入，昨日收盘16.4，评级15元…-----目标价15元？-----目标价15？这个研报有意思-----原来目标是15啊-----优质银行，目标看起招行-----推荐买入，昨日收盘16.4，评级15元…-----明天跑-----如果明天银行、券商、地产股再起一小波，可避免黑色星期四。。-----股价都早已超越了评估的目标价，这样的研报是拿出来搞笑的吗？如果认为超过目标价不值，就直截了当地评估卖出，有你们这样不严肃的研报吗？-----目标14元-----有病吧？目标价15，还买入评级！-----看空的-----这种sb研报怎么发出来的
1049,0,看着这个股心情就是好,正,"http://guba.eastmoney.com/news,000001,882419541.html",买股票靠猜,2020/10/24 23:07,25,,
1109,0,冲新高,正,"http://guba.eastmoney.com/news,000001,882414101.html",股来估趣,2020/10/24 22:13,25,,
1290,2,希望本月能站稳在17元之上。,正,"http://guba.eastmoney.com/news,000001,882405276.html",狼子会投,2020/10/24 21:03,2,,稳定在16.9元，就可以；冲的太快，摔的越重；-----本月不收破昨天低點就行
10233,0,经营稳中趋好，转型应对挑战,正,"http://guba.eastmoney.com/news,000001,882395735.html",平安银行资讯,2020/10/24 19:33,4,,
3063,2,平安银行：经营稳中趋好 转型应对挑战,正,"http://guba.eastmoney.com/news,000001,882385264.html",平安银行资讯,2020/10/24 18:00,4,国联证券指出，利润增长由利息收入和非息收入共同拉动。贷款结构调整对公司业绩和资产质量贡献明显。可转债成功转股，资本充足率提升。经济对业务的压力不可忽视，但公司转型值得期待。整体来看，公司三季度业绩较好，持续积极推进零售转型和科技赋能，未来核心竞争力有望进一步提升。预计公司2019、2020、2021年的EPS分别为1.49、1.65、1.84元/股，对应10月22日收盘价PE分别为11.00、9.93、8.92倍，PB为1.07、0.99、0.92倍，维持推荐评级。,好的-----平安银行有区旷链业务很不错
1478,2,我去，这么好，14点56分进来了，就赚了100块，哈哈，,正,"http://guba.eastmoney.com/news,000001,882353923.html",日入过万,2020/10/24 15:51,25,,不是说过万嘛----------不是说过万嘛----------哈哈，梦想，这只股票尾盘56分建了个底仓，很难得最后一分钟还赚钱-----
1578,3,炒股也未必都亏，长期持有平安银行，看看月线都是月月,正,"http://guba.eastmoney.com/news,000001,882363555.html",筑福星,2020/10/24 15:50,3,,（深）发展是硬道理，平安（银行）是福-----是的，懂的话，在低位买进银行股，做波段，-----11块的成本，不打算卖了
18232,0,【观点】据说，牛市第二波靠它引领？,正,"http://guba.eastmoney.com/news,cfhpl,882361973.html",华宝基金,2020/10/24 15:40,45,,
1513,4,持有到明年三月，上18元。慢慢变富,正,"http://guba.eastmoney.com/news,000001,882360271.html",狼子会投8,2020/10/24 15:31,25,,那个时候该22-----年底不出意外就18了-----这个不是工商啊-----18？随便涨个1块多就到了，那不是平安的风格
1666,2,尾盘有惊喜,正,"http://guba.eastmoney.com/news,000001,882352231.html",股霸王110,2020/10/24 15:06,35,,这走势搞得像题材股一样-----明天创兴高就行了
2311,8,尾盘竞价一拉是什么情况,正,"http://guba.eastmoney.com/news,000001,882352958.html",股友hwPV4I,2020/10/24 15:02,2,,这是什么造型啊----------收集筹码-----没什么情况，但明天早上人家肯定会出货，-----明天创兴高就行了-----关键早上给抛了----------意思就是明天一柱擎天-----意思就是明天一柱擎天-----不好说-----不会是乌龙吧
1085,0,尾盘竞价这么牛,正,"http://guba.eastmoney.com/news,000001,882352621.html",股友6Nro3c,2020/10/24 15:01,3,,
857,0,今天有戏,正,"http://guba.eastmoney.com/news,000001,882346542.html",A适可而止,2020/10/24 14:50,25,,
842,0,Numberone看好你，平安,正,"http://guba.eastmoney.com/news,000001,882337644.html",股友2lGgEh,2020/10/24 14:30,1,,
889,0,调整完毕，即将快速上行，测试,正,"http://guba.eastmoney.com/news,000001,882331916.html",买股票靠猜,2020/10/24 14:20,25,,
818,0,慢慢涨、涨不停,正,"http://guba.eastmoney.com/news,000001,882332134.html",股友7pYx4R,2020/10/24 14:20,2,,
879,0,银行涨那么多要是倒下来太可怕了没人能阻挡的崩溃。,正,"http://guba.eastmoney.com/news,000001,882320339.html",想要很多钱,2020/10/24 13:55,35,,
1196,1,市场不好，大家都来买低估的银行股避险,正,"http://guba.eastmoney.com/news,000001,882281514.html",短线梭哈亏百万,2020/10/24 12:01,3,,现在太高了，
816,0,今天大盘靠银行了,正,"http://guba.eastmoney.com/news,000001,882243350.html",股票小菜鸟112,2020/10/24 10:23,25,,
722,0,你是老大，上去啊[胜利][胜利],正,"http://guba.eastmoney.com/news,000001,882239164.html",风过飘零01,2020/10/24 10:23,2,,
864,1,今天来个涨停,正,"http://guba.eastmoney.com/news,000001,882242486.html",股友iyjuTi,2020/10/24 10:20,2,,那就可以出货了
744,0,爱了爱了,正,"http://guba.eastmoney.com/news,000001,882242899.html",股市超锦鲤,2020/10/24 10:20,15,,
738,0,好！！！[毛估估],正,"http://guba.eastmoney.com/news,000001,882242062.html",沙虎狐,2020/10/24 10:18,15,,
850,1,量再加大一点,正,"http://guba.eastmoney.com/news,000001,882231436.html",买股票靠猜,2020/10/24 10:04,25,,刚加了100股
843,1,谢谢高开，坐等大盘稳定,正,"http://guba.eastmoney.com/news,000001,882215768.html",Baker乾坤,2020/10/24 9:37,2,,大盘要破位，银行强拉也拉不住，
2015,0,市场进入振荡阴跌行情，首先说来，我看好平安银行，但,正,"http://guba.eastmoney.com/news,000001,882193583.html",股友SPVXzQ,2020/10/24 6:26,15,,
1187,0,万花丛中一点红，就服你,正,"http://guba.eastmoney.com/news,000001,882128151.html",青空沓然,2020/10/23 15:50,2,,
1153,0,还是买银行类的稳健,正,"http://guba.eastmoney.com/news,000001,882128265.html",青空沓然,2020/10/23 15:50,2,,
1114,0,平安：上证太菜了，送人头带不动带不动。,正,"http://guba.eastmoney.com/news,000001,882104027.html",股票小菜鸟112,2020/10/23 14:36,25,,
1089,0,资金流入七千多万，才涨那么一分钱，无语,正,"http://guba.eastmoney.com/news,000001,882100940.html",东财网友1231513802813692,2020/10/23 14:33,2,,
910,0,缩量上涨,正,"http://guba.eastmoney.com/news,000001,882095994.html",稳定就是暴利,2020/10/23 14:23,2,,
964,0,坚守银行龙头,正,"http://guba.eastmoney.com/news,000001,882081993.html",股友7pYx4R,2020/10/23 13:52,2,,
955,0,银行股必须涨一波迎接邮储银行IPO,正,"http://guba.eastmoney.com/news,000001,882079843.html",先知先觉指南针,2020/10/23 13:48,3,,
980,0,目标价22。,正,"http://guba.eastmoney.com/news,000001,882075516.html",郝郝先生的一天,2020/10/23 13:37,25,,
857,0,涨停的节奏,正,"http://guba.eastmoney.com/news,000001,882074832.html",没有真理只有道理,2020/10/23 13:36,2,,
1034,0,买入平安银行，我来拉大盘,正,"http://guba.eastmoney.com/news,000001,882073259.html",狩猎者mmtc,2020/10/23 13:32,35,,
1091,1,银行必须大涨，否则邮储如何发行？,正,"http://guba.eastmoney.com/news,000001,882070364.html",敢于胜利,2020/10/23 13:31,25,,不关邮储的事，当年中国人保牛皮哄哄的说要搞平安，现在平安都90了
858,0,护盘？,正,"http://guba.eastmoney.com/news,000001,882072357.html",幸运方块,2020/10/23 13:30,15,,
822,0,上证要被银行一波了,正,"http://guba.eastmoney.com/news,000001,882071758.html",股票小菜鸟112,2020/10/23 13:29,25,,
827,0,真牛逼,正,"http://guba.eastmoney.com/news,000001,882071323.html",打G棍,2020/10/23 13:27,2,,
828,0,早上才割肉，下午就拉涨了，晕,正,"http://guba.eastmoney.com/news,000001,882070849.html",偶尔涨一点,2020/10/23 13:27,25,,
927,1,马上加速上扬快买,正,"http://guba.eastmoney.com/news,000001,882038548.html",股海郭齐杰一叶舟,2020/10/23 13:27,4,,买
11905,9,三季报点评：业绩基本符合预期，收入端增长,正,"http://guba.eastmoney.com/news,000001,882067991.html",平安银行资讯,2020/10/23 13:25,4,,为什么这么烦能保证给我百分之五十的收益我就买----------早上不该清仓-----招商南油601975.业绩好！价格低！翻翻机率大！坚持加持仓！那怕一两手！分享朋友圈！会更好！11月15日还会有大利好！-----自己点评自己。。。。？-----增长强劲，那你倒是涨呀？口说无凭呀！股价快涨！！！----------研报都是忽悠小散的，抱着幻想等着被割-----垃圾故事推出-----增长强劲，那你倒是涨呀？口说无凭呀！股价快涨！！！----------不急不急，好事多磨，哈哈-----看来出货还没完全阿，继续吸引韭菜现金换股票-----
821,0,拉个你尿，，，邮储银行来了,正,"http://guba.eastmoney.com/news,000001,882068930.html",Qmj,2020/10/23 13:20,2,,
791,0,开始发力了,正,"http://guba.eastmoney.com/news,000001,882067870.html",股友iyjuTi,2020/10/23 13:18,2,,
742,0,银行股开始发力吗,正,"http://guba.eastmoney.com/news,000001,882067332.html",股票小菜鸟112,2020/10/23 13:17,25,,
821,0,卖了，牛市快来了！买中石化分红打新！保住,正,"http://guba.eastmoney.com/news,000001,882066299.html",八十年韭菜精,2020/10/23 13:14,3,,
624,0,上车机会不多，过了20一路狂飙！,正,"http://guba.eastmoney.com/news,000001,882064343.html",敢于胜利,2020/10/23 13:08,25,,
743,0,满仓干，护盘还得靠银行！,正,"http://guba.eastmoney.com/news,000001,882060647.html",敢于胜利,2020/10/23 12:41,25,,
783,0,银行股最差的时候已经过去了，特别是这种优,正,"http://guba.eastmoney.com/news,000001,882060357.html",敢于胜利,2020/10/23 12:36,25,,
3200,6,明天中国邮政银行150亿过会发行巨无霸来了,正,"http://guba.eastmoney.com/news,000001,882055033.html",大笑堂,2020/10/23 11:50,2,,当年8w亿的中石油你们都没怕过----------人保也这么说，牛逼哄哄的。。。-----助推平银早日上22-----当年8w亿的中石油你们都没怕过----------买中石油的人，死的不要不要的-----当年8w亿的中石油你们都没怕过----------没感觉，反正我又不买。-----进入了股市就不知道什么叫害怕了，但是知道啥叫后悔了。不过也没有办法了，于是学会接受了
20905,2,【热讯】银行股爆发资金涌入，近两个月银行,正,"http://guba.eastmoney.com/news,cfhpl,881851230.html",华宝基金,2020/10/23 11:43,45,,越发越跌！----------越跌，越加。
1034,2,本周会见新高。,正,"http://guba.eastmoney.com/news,000001,882051346.html",hangengin9,2020/10/23 11:36,15,,开什么玩笑-----百点长阳？可能吗？
1159,1,今天又是北向资金大举买买买的时候！,正,"http://guba.eastmoney.com/news,000001,882046877.html",xuehsj,2020/10/23 11:23,25,,下个礼拜，大盘股开始发行，吓人，注册证开始，年底很多新股必须发行出去。
838,0,快上车,正,"http://guba.eastmoney.com/news,000001,882040415.html",股友8D9dsh,2020/10/23 11:07,15,,
792,0,你该涨起来了啊,正,"http://guba.eastmoney.com/news,000001,882039513.html",股友iyjuTi,2020/10/23 11:05,2,,
834,0,下午涨停的势头,正,"http://guba.eastmoney.com/news,000001,882038872.html",L1HW1666666666,2020/10/23 11:03,5,,
805,0,涨停的特征,正,"http://guba.eastmoney.com/news,000001,882002753.html",L1HW1666666666,2020/10/23 9:56,5,,
1862,2,半年报为15％，三季报高于15％，超预期利好。,正,"http://guba.eastmoney.com/news,000001,881729078.html",东方扬子yzg,2020/10/23 8:33,2,,明天偏空-----血腥腰斩！还是高估！就十派2块
1103,0,今日已建仓等你涨,正,"http://guba.eastmoney.com/news,000001,881932839.html",股海郭齐杰一叶舟,2020/10/22 19:11,4,,
2373,1,大盘翻红了，又是缩量翻红，和昨天走势一样,正,"http://guba.eastmoney.com/news,000001,881876604.html",草根武哥1,2020/10/22 14:17,35,,收盘在看看
1079,1,很好，这非常的价值投资,正,"http://guba.eastmoney.com/news,000001,881862830.html",短线梭哈亏百万,2020/10/22 13:46,3,,今天应该是有融券做空的
792,0,加油、银行指数红靠平安,正,"http://guba.eastmoney.com/news,000001,881862187.html",股友7pYx4R,2020/10/22 13:43,2,,
801,0,我相信下午还是会拉红嘀[微笑],正,"http://guba.eastmoney.com/news,000001,881845506.html",再战巅峰对决,2020/10/22 12:50,25,,
739,0,出半仓共达，切换到平安，红了，平安，我又,正,"http://guba.eastmoney.com/news,000001,881821238.html",WO牛也是牛,2020/10/22 10:59,15,,
665,0,加油加油,正,"http://guba.eastmoney.com/news,000001,881821447.html",股友7pYx4R,2020/10/22 10:59,2,,
910,4,尾盘会翻红，立贴为证,正,"http://guba.eastmoney.com/news,000001,881797293.html",一号青年,2020/10/22 10:12,25,,为什么-----大盘还有还会调整----------相信你一次----------想多了拉红让你赚钱吗
863,2,极限点位了，加仓的好机会,正,"http://guba.eastmoney.com/news,000001,881796596.html",隐师旋转,2020/10/22 10:11,2,,没钱补啊大哥-----你准备救灾啊？才刚开始下跌呢。
640,0,涨太多了。,正,"http://guba.eastmoney.com/news,000001,881782098.html",中国红马甲,2020/10/22 9:43,3,,
1077,0,涨停,正,"http://guba.eastmoney.com/news,000001,881751249.html",龙腾四海989888,2020/10/22 0:56,2,,
55728,76,平安银行：前三季度净利236.2亿 同比增15.5,正,"http://guba.eastmoney.com/news,cjpl,881704655.html",财经评论资讯,2020/10/21 23:03,5,平安银行(000001)21日晚披露三季报，前三季度营收1029.58亿元，同比增长18.8%；净利236.21亿元，同比增长15.5%；每股收益1.32元。其中，利息净收入662.69亿元，同比增长21.5%。净利差、净息差分别为2.54%、2.62%，与去年同期相比均提升33个基点，盈利能力保持稳定。股东方面，香港中央结算有限公司(陆股通)持股比例由二季末的4.14%上升至7.33%。　　【相关报道】　　三季报业绩超预期股名单这些预测上涨空间超20%　　财报季，在已公布的三季报及业绩预告中，有50多只股票在券商研究报告中被认为业绩超预期。　　截至目前，沪深两市共有127家上市公司披露了三季报，本周将有超过1100份三季报出炉。在已公布的三季报及业绩预告中，极少部分被券商机构认定为“业绩超预期”。证券时报？数据宝粗略统计显示，有50多只股票在券商研究报告中被认为业绩超预期，其中有11只个股公布了三季报。　　多数业绩超预期个股预计三季度净利润高速增长，其中有32只预告净利润同比增幅上限超过50%。净利润增幅最高的是金溢科技，公司预计前三季度盈利3.49亿元至4.07亿元，去年同期为亏损246.26万元。其中预计第三季度盈利3.04亿元至3.62亿元，同比增长超过20倍。此外，南华仪器、中孚信息、建设机械、长源电力、中联重科等11只股票均预计上半年净利润增幅上限超100%。　　极少数业绩超预期个股净利下滑。如利群股份，公司预计前三季度归母净利润同比减少27.52%，降幅小于上半年。单季度拆分来看，利群股份第三季度实现归母净利润0.45亿元，同比增长182.67%。光大证券认为，公司利润降幅收窄，业绩超预期。　　三季报业绩超预期个股受市场青睐　　今日业绩超预期股票整体表现强于大盘，中南建设、高盟新材、深信服、韶能股份、恰恰食品等在发稿前涨幅都超2%。其中高盟新材上午股价大涨逾5%，公司于10月19日公布三季报，第三季度实现归母净利润0.5亿元，同比增长69.2%，毛利率达到46.9%，创历史最好单季水平。　　数据宝统计显示，自三季报业绩披露以来，业绩超预期的公司，股价都有较好表现，涨幅较大的有洽洽食品、南极电商、牧原股份等。　　洽洽食品前三季度实现归母净利润4亿元，同比增长32.27%，环比显著提升，大超市场预期。国元证券认为毛利率提升主要原因包括：受益于“农场直采+生产自动化提高”，坚果前三季毛利率预计提升至25%+，去年三季度初提价因为传导时滞导致部分红利延续，增值税率下调后部分让利受渠道和厂家动态博弈影响后在三季度释放。　　部分前期股价涨幅较大公司，发布业绩后股价走弱。如中信特钢、上峰水泥、联创电子等股价自三季报业绩预告发布后，股价跌幅都在7%以上。如联创电子近期股价在年内高点附近震荡，年内涨幅超过120%。　　16股上涨空间超20%　　将这些超预期个股收盘价与机构预测最大目标价对比来看，16只股票上涨空间在20%以上。上涨空间最大的是中信特钢，达51.8%。中信特钢预计2019年前三季度盈利36.1亿元至37.0亿元，第三季度盈利11.75亿元至12.65亿元。华泰证券在三季报前瞻中曾预测公司第三季度盈利10亿元，业绩超预期，上调公司目标价。上涨空间较大的还有麦格米特、南华仪器、星网锐捷、中孚信息等。(来源：数据宝)　　延伸阅读>>>　　127份三季报亮相逾六成增长13家上市公司净利润同比翻番　　三季报亮点提前看！千余公司密集披露这些股此前大幅预增更有21家千亿市值大块头将亮相,-----这是将来要ST的节奏！！！-----很给力的消息，是主力出货的好机会。----------这是将来要ST的节奏！！！-----老韭菜都被股市折磨疯了？-----完蛋了低开跌停了-----分红么-----？-----给力的平安系！-----大盘涨停涨停再涨停-----分红么-----？-----利好-----牛----------这是将来要ST的节奏！！！-----沙发-----韭菜们，叫你们接盘了-----优秀----------天天涨不停-----才这么点，不如人瘦啊-----严重低估，起码15倍市盈率-----千股涨停利好茅台-----很给力的消息，是主力出货的好机会。-----欧耶耶，欧啦啦----------明早92.51抢-----起步价20元，长线持股，明后年30-40元----------不要今天装大，明天才晓得-----跑的正确-----分红么-----？-----这个可以有，希望一年分两次红----------好，明天砸盘子-----牛逼牛逼！-----直播危害大-----稳步向上----------这是将来要ST的节奏！！！-----老韭菜都被股市折磨疯了？-----明显是寻找接盘侠。-----一字跌-----完蛋了低开跌停了-----该出货了-----清仓
1246,1,能来个涨停板不,正,"http://guba.eastmoney.com/news,000001,881726294.html",股票大鼠,2020/10/21 20:34,25,,三季平安银行收益1.217元全年1.475在望-----十派2块存希望-----信用卡客户借款要还呀！千万勿爆仓
1165,0,看清楚，不良率下降好多,正,"http://guba.eastmoney.com/news,000001,881726060.html",高智商研究中心,2020/10/21 19:58,4,,
2212,3,增长稍微加速了，,正,"http://guba.eastmoney.com/news,000001,881707956.html",上班无聊炒股,2020/10/21 19:57,25,,平安，买了真平安一点不担心。明天数钱。-----期待年报，四季度释放对公业务业绩-----中报增速也是15.16%，三季报增速15.6%，三季度没有增速。
1108,0,卧槽，这么牛逼。。,正,"http://guba.eastmoney.com/news,000001,881716017.html",cyuughuvb,2020/10/21 18:26,15,,
1355,0,平安银行三季报利润同比增15.5%，点个赞！[赞][献花][,正,"http://guba.eastmoney.com/news,000001,881715328.html",老股民新网友,2020/10/21 18:09,4,,
1228,0,利润大增，明天突破前高[胜利][胜利][胜利],正,"http://guba.eastmoney.com/news,000001,881714901.html",小蓝猫淘气,2020/10/21 17:56,3,,
1032,0,期待年报更加好。,正,"http://guba.eastmoney.com/news,000001,881712606.html",上班无聊炒股,2020/10/21 17:32,25,,
2101,1,平安银行:独立董事提名人声明(六),正,"http://guba.eastmoney.com/news,000001,881704123.html",平安银行资讯,2020/10/21 16:48,4,,哦
1609,2,每股利润一块多，还可以吧,正,"http://guba.eastmoney.com/news,000001,881705349.html",明月冷风寒光,2020/10/21 16:47,25,,非常不错了，你看茅台一股才多少收益-----半年报是多少？
857,0,加油，向中信看齐,正,"http://guba.eastmoney.com/news,000001,881681074.html",股友7pYx4R,2020/10/21 14:49,2,,
902,0,明天新高,正,"http://guba.eastmoney.com/news,000001,881681415.html",股友b8Qetf,2020/10/21 14:49,1,,
897,0,明天新高,正,"http://guba.eastmoney.com/news,000001,881676690.html",股友7pYx4R,2020/10/21 14:39,2,,
818,0,持股待涨,正,"http://guba.eastmoney.com/news,000001,881640848.html",股友7pYx4R,2020/10/21 13:15,2,,
901,0,潜力股价值低估上升空间大,正,"http://guba.eastmoney.com/news,000001,881637908.html",股友noIin6,2020/10/21 13:05,1,,
934,0,终于等到你了，个股有救了,正,"http://guba.eastmoney.com/news,000001,881624901.html",一统全球,2020/10/21 11:33,2,,
828,0,银行拉大盘,正,"http://guba.eastmoney.com/news,000001,881608924.html",好人一生好大运,2020/10/21 10:58,25,,
824,0,今天头功，力挽狂澜[赞][赞],正,"http://guba.eastmoney.com/news,000001,881604409.html",股友大河马,2020/10/21 10:47,1,,
804,0,平安真给力,正,"http://guba.eastmoney.com/news,000001,881603119.html",股友nlUWeL,2020/10/21 10:46,15,,
721,0,今天大盘看你了，加油,正,"http://guba.eastmoney.com/news,000001,881590067.html",房and吴,2020/10/21 10:27,15,,
742,0,GOGOGO!,正,"http://guba.eastmoney.com/news,000001,881590531.html",和主力一起割散户,2020/10/21 10:25,25,,
724,0,今天该稳定一次了吧,正,"http://guba.eastmoney.com/news,000001,881582821.html",股友6Nro3c,2020/10/21 10:14,3,,
784,0,完成任务到5日线再跌不算你没努力,正,"http://guba.eastmoney.com/news,000001,881577981.html",火箭发射888l,2020/10/21 10:03,15,,
704,0,也只能靠你撑撑场面了[好困惑][好困惑][好困惑][好困,正,"http://guba.eastmoney.com/news,000001,881564504.html",股友oOgAK3,2020/10/21 10:01,2,,
835,0,不急不燥稳老铁年底22见…！,正,"http://guba.eastmoney.com/news,000001,881576062.html",笑话我的人最多,2020/10/21 9:56,25,,
813,1,你涨的太少了。,正,"http://guba.eastmoney.com/news,000001,881575574.html",zzh962725,2020/10/21 9:54,1,,多来几个超大户就好了-----
1778,2,平安这种创历史新高势头远远没完！,正,"http://guba.eastmoney.com/news,000001,881530979.html",A股最假,2020/10/20 20:53,2,,这么小的换手率就稳稳地创历史新高，结果是你不敢买它又涨……！涨到你心疼可惜……！----------
2139,1,16.8的本星期一应该能回来,正,"http://guba.eastmoney.com/news,000001,881517463.html",沧海一声笑czmgif,2020/10/20 14:52,2,,你这沙雕，哪里都有
890,0,看好你,正,"http://guba.eastmoney.com/news,000001,881266062.html",股友iyjuTi,2020/10/18 10:23,2,,
887,0,又涨了,正,"http://guba.eastmoney.com/news,000001,881261203.html",w连连,2020/10/18 10:15,35,,
1137,0,这货的特点，一到周一就大涨；这货还有一个,正,"http://guba.eastmoney.com/news,000001,881260650.html",时空线索,2020/10/18 10:15,2,,
904,0,这样消息还涨,正,"http://guba.eastmoney.com/news,000001,881249580.html",一路套,2020/10/18 9:56,1,,
931,1,哈哈，涨起来了,正,"http://guba.eastmoney.com/news,000001,881238528.html",交给时间就对了,2020/10/18 9:36,15,,今天和昨天一样开盘涨。希望今天能保持3%。
1462,2,今年走势很强悍,正,"http://guba.eastmoney.com/news,000001,881158346.html",包罗万象之乎者也,2020/10/18 5:56,35,,中信银行：前三季度实现净利同比增长10.74%-----从明天起，中信银行带领银行板块大涨----------银行业三季报大幕拉开！-----中信银行打头阵，前三季度净利同比增10.74%-----北上资金昨日净买入平安银行2.97亿。-----平安银行3季报将比中信银行更优异！-----
